HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Simple Assault,Cleared by Arrest,2018-06-25,Hickory Grove
Simple Assault,Open,2019-06-24,Central
Simple Assault,Exceptionally Cleared,2021-11-22,Hickory Grove
Simple Assault,Open,2019-03-26,Central
Simple Assault,Open,2023-02-16,Freedom
Simple Assault,Open,2020-05-29,Eastway
Intimidation,Open,2020-01-29,Providence
Simple Assault,Open,2018-05-10,University City
Simple Assault,Exceptionally Cleared,2023-09-03,Hickory Grove
Simple Assault,Cleared by Arrest,2019-02-27,Westover
Simple Assault,Exceptionally Cleared,2018-01-17,Eastway
Simple Assault,Open,2021-04-15,North Tryon
Simple Assault,Cleared by Arrest,2019-12-29,Hickory Grove
Intimidation,Open,2022-08-30,Hickory Grove
Simple Assault,Open,2023-09-12,Independence
Simple Assault,Open,2021-09-19,Metro
Simple Assault,Exceptionally Cleared,2017-11-22,Freedom
Intimidation,Open,2019-04-16,Westover
Simple Assault,Exceptionally Cleared,2018-10-03,Metro
Simple Assault,Cleared by Arrest,2021-03-26,Providence
Simple Assault,Cleared by Arrest,2017-04-06,Eastway
Simple Assault,Exceptionally Cleared,2023-01-27,Independence
Intimidation,Open,2023-12-23,North Tryon
Intimidation,Open,2018-10-30,Steele Creek
Simple Assault,Cleared by Arrest,2018-07-26,Metro
Simple Assault,Exceptionally Cleared,2021-11-02,South
Simple Assault,Open,2024-11-18,South
Simple Assault,Open,2020-01-07,North
Simple Assault,Open,2023-01-10,Eastway
Intimidation,Cleared by Arrest,2017-07-05,University City
Simple Assault,Exceptionally Cleared,2023-08-03,Westover
Simple Assault,Cleared by Arrest,2023-07-26,Westover
Simple Assault,Open,2018-02-18,University City
Simple Assault,Cleared by Arrest,2017-12-24,North
Simple Assault,Exceptionally Cleared,2022-11-25,Providence
Simple Assault,Exceptionally Cleared,2020-09-19,Steele Creek
Simple Assault,Open,2018-06-05,North
Simple Assault,Exceptionally Cleared,2020-07-18,Steele Creek
Simple Assault,Open,2024-09-15,University City
Simple Assault,Cleared by Arrest,2017-11-23,Huntersville
Intimidation,Exceptionally Cleared,2018-11-02,Hickory Grove
Simple Assault,Exceptionally Cleared,2019-08-06,Steele Creek
Simple Assault,Open,2017-09-13,Westover
Intimidation,Open,2017-07-24,Independence
Simple Assault,Open,2019-01-21,Metro
Intimidation,Exceptionally Cleared,2022-01-25,South
Simple Assault,Cleared by Arrest,2017-03-17,Steele Creek
Simple Assault,Unfounded,2023-10-31,North
Simple Assault,Cleared by Arrest by Another Agency,2022-04-22,Hickory Grove
Simple Assault,Cleared by Arrest,2018-08-04,Westover
Simple Assault,Cleared by Arrest,2020-10-25,Westover
Intimidation,Exceptionally Cleared,2023-01-16,North
Simple Assault,Exceptionally Cleared,2021-11-10,North
Intimidation,Open,2021-09-10,University City
Simple Assault,Exceptionally Cleared,2018-09-08,Steele Creek
Simple Assault,Cleared by Arrest,2021-02-13,Steele Creek
Simple Assault,Cleared by Arrest,2020-06-13,Metro
Intimidation,Exceptionally Cleared,2020-12-04,Independence
Simple Assault,Exceptionally Cleared,2017-06-23,Freedom
Simple Assault,Cleared by Arrest by Another Agency,2023-05-02,Steele Creek
Intimidation,Exceptionally Cleared,2021-07-30,Metro
Simple Assault,Cleared by Arrest,2021-02-28,Westover
Simple Assault,Open,2020-10-21,University City
Intimidation,Cleared by Arrest by Another Agency,2018-08-30,North
Simple Assault,Open,2020-08-11,North
Simple Assault,Cleared by Arrest,2018-10-30,Metro
Simple Assault,Open,2024-01-18,North
Intimidation,Cleared by Arrest,2023-04-15,Steele Creek
Simple Assault,Cleared by Arrest,2023-04-29,Metro
Simple Assault,Open,2022-05-02,University City
Simple Assault,Exceptionally Cleared,2022-09-08,Eastway
Simple Assault,Cleared by Arrest,2022-08-28,North
Simple Assault,Cleared by Arrest,2019-09-24,Central
Intimidation,Open,2018-07-27,North
Simple Assault,Open,2024-04-11,Westover
Simple Assault,Cleared by Arrest,2024-10-06,Steele Creek
Simple Assault,Open,2020-12-20,Steele Creek
Simple Assault,Exceptionally Cleared,2018-03-12,Eastway
Simple Assault,Exceptionally Cleared,2019-02-18,Steele Creek
Intimidation,Open,2020-08-21,North Tryon
Intimidation,Open,2017-11-07,North Tryon
Intimidation,Open,2024-08-07,Steele Creek
Intimidation,Cleared by Arrest,2022-05-25,Central
Simple Assault,Open,2022-06-06,Eastway
Intimidation,Open,2019-02-04,Steele Creek
Intimidation,Exceptionally Cleared,2023-09-22,North Tryon
Intimidation,Cleared by Arrest,2018-01-21,Freedom
Simple Assault,Open,2023-04-08,North Tryon
Intimidation,Open,2020-09-11,North Tryon
Simple Assault,Cleared by Arrest,2018-02-03,Metro
Simple Assault,Exceptionally Cleared,2020-03-12,Independence
Simple Assault,Open,2022-03-09,North Tryon
Simple Assault,Open,2022-03-30,North Tryon
Simple Assault,Exceptionally Cleared,2017-05-05,Hickory Grove
Simple Assault,Cleared by Arrest,2023-10-24,Freedom
Simple Assault,Open,2021-12-19,Metro
Simple Assault,Exceptionally Cleared,2024-02-18,Westover
Simple Assault,Cleared by Arrest,2024-01-14,North
Simple Assault,Cleared by Arrest,2019-09-19,Freedom
Simple Assault,Cleared by Arrest,2018-03-14,Steele Creek
Intimidation,Open,2024-03-09,North Tryon
Intimidation,Exceptionally Cleared,2019-04-18,Freedom
Simple Assault,Open,2023-09-30,North Tryon
Simple Assault,Open,2023-07-18,North Tryon
Simple Assault,Open,2023-03-23,Freedom
Simple Assault,Exceptionally Cleared,2024-04-20,Eastway
Simple Assault,Open,2020-06-30,Steele Creek
Intimidation,Cleared by Arrest,2018-03-09,Metro
Simple Assault,Cleared by Arrest,2019-04-19,Steele Creek
Simple Assault,Open,2024-09-30,North
Simple Assault,Open,2023-01-31,Westover
Simple Assault,Open,2018-03-04,North Tryon
Simple Assault,Exceptionally Cleared,2023-05-19,Independence
Intimidation,Exceptionally Cleared,2019-01-30,Providence
Intimidation,Open,2022-10-09,University City
Simple Assault,Open,2020-03-15,Metro
Simple Assault,Open,2024-06-27,Eastway
Simple Assault,Exceptionally Cleared,2024-02-18,Providence
Simple Assault,Cleared by Arrest,2019-12-23,North
Intimidation,Exceptionally Cleared,2017-02-01,Westover
Intimidation,Open,2024-06-03,University City
Intimidation,Exceptionally Cleared,2020-07-13,Metro
Intimidation,Cleared by Arrest,2020-01-27,Hickory Grove
Intimidation,Open,2022-09-28,Freedom
Intimidation,Open,2018-08-20,University City
Simple Assault,Cleared by Arrest,2021-03-10,Westover
Simple Assault,Open,2023-02-11,Freedom
Intimidation,Exceptionally Cleared,2020-06-05,Westover
Simple Assault,Open,2022-03-06,Metro
