HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Simple Assault,Cleared by Arrest,2022-11-21,Independence
Simple Assault,Cleared by Arrest,2020-10-10,University City
Simple Assault,Open,2023-12-21,University City
Simple Assault,Exceptionally Cleared,2023-07-26,Freedom
Simple Assault,Cleared by Arrest,2023-09-15,Central
Simple Assault,Open,2021-09-04,Steele Creek
Simple Assault,Cleared by Arrest,2021-10-19,Freedom
Simple Assault,Open,2024-01-18,Independence
Intimidation,Open,2017-06-16,Freedom
Simple Assault,Open,2022-06-06,Freedom
Intimidation,Open,2019-09-24,Metro
Simple Assault,Open,2018-04-25,South
Intimidation,Open,2023-06-01,Metro
Simple Assault,Open,2019-11-17,Eastway
Simple Assault,Exceptionally Cleared,2020-02-12,Providence
Simple Assault,Open,2018-08-16,Metro
Intimidation,Open,2021-06-29,North Tryon
Simple Assault,Cleared by Arrest,2018-03-20,Westover
Intimidation,Exceptionally Cleared,2021-04-18,University City
Simple Assault,Exceptionally Cleared,2017-04-27,Steele Creek
Simple Assault,Open,2020-10-30,South
Simple Assault,Cleared by Arrest,2022-06-26,University City
Simple Assault,Cleared by Arrest,2021-07-24,University City
Intimidation,Exceptionally Cleared,2023-12-17,North
Intimidation,Exceptionally Cleared,2017-10-13,Central
Simple Assault,Exceptionally Cleared,2020-07-25,Westover
Simple Assault,Open,2022-03-17,Westover
Intimidation,Open,2022-07-19,Westover
Simple Assault,Open,2023-01-04,Westover
Simple Assault,Open,2023-05-01,Eastway
Simple Assault,Open,2024-03-01,North
Simple Assault,Cleared by Arrest,2022-03-12,Westover
Intimidation,Cleared by Arrest,2022-07-13,North Tryon
Simple Assault,Open,2023-07-14,Westover
Simple Assault,Cleared by Arrest,2017-03-24,Hickory Grove
Intimidation,Open,2023-12-29,North Tryon
Simple Assault,Open,2022-10-31,Hickory Grove
Intimidation,Cleared by Arrest,2020-05-25,Steele Creek
Simple Assault,Exceptionally Cleared,2019-12-03,North
Simple Assault,Open,2019-09-23,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-07-11,University City
Simple Assault,Cleared by Arrest,2017-04-25,University City
Intimidation,Exceptionally Cleared,2022-03-08,Steele Creek
Intimidation,Exceptionally Cleared,2021-05-24,Eastway
Intimidation,Open,2018-08-17,University City
Simple Assault,Cleared by Arrest by Another Agency,2021-09-28,Eastway
Simple Assault,Cleared by Arrest,2024-06-29,Hickory Grove
Simple Assault,Open,2018-08-02,Metro
Simple Assault,Open,2021-11-26,North Tryon
Simple Assault,Cleared by Arrest,2020-05-15,Metro
Simple Assault,Cleared by Arrest,2017-04-09,Metro
Simple Assault,Exceptionally Cleared,2022-05-18,Hickory Grove
Simple Assault,Cleared by Arrest,2017-01-19,University City
Intimidation,Open,2022-01-20,Metro
Simple Assault,Open,2023-06-08,Steele Creek
Intimidation,Exceptionally Cleared,2024-09-06,University City
Simple Assault,Open,2024-04-08,Freedom
Intimidation,Open,2023-10-21,Central
Simple Assault,Cleared by Arrest by Another Agency,2022-06-20,University City
Simple Assault,Exceptionally Cleared,2018-07-29,Freedom
Intimidation,Exceptionally Cleared,2024-03-10,Westover
Simple Assault,Exceptionally Cleared,2017-02-28,Independence
Simple Assault,Cleared by Arrest,2020-04-04,Hickory Grove
Simple Assault,Exceptionally Cleared,2019-10-10,University City
Intimidation,Open,2019-08-02,North Tryon
Simple Assault,Exceptionally Cleared,2024-05-07,North Tryon
Simple Assault,Open,2022-11-01,Metro
Simple Assault,Cleared by Arrest,2017-05-09,Metro
Simple Assault,Cleared by Arrest,2019-06-29,North
Simple Assault,Exceptionally Cleared,2019-09-14,University City
Simple Assault,Open,2018-11-22,Eastway
Simple Assault,Cleared by Arrest,2017-03-28,Freedom
Intimidation,Open,2019-11-26,Metro
Simple Assault,Cleared by Arrest,2018-05-28,North Tryon
Simple Assault,Open,2023-09-17,North Tryon
Simple Assault,Cleared by Arrest,2023-08-23,Hickory Grove
Intimidation,Open,2019-02-05,Steele Creek
Intimidation,Open,2017-11-17,South
Simple Assault,Open,2023-08-13,University City
Simple Assault,Open,2023-09-14,Steele Creek
Intimidation,Open,2022-02-06,Hickory Grove
Simple Assault,Open,2021-12-20,Central
Simple Assault,Exceptionally Cleared,2019-03-05,North
Simple Assault,Cleared by Arrest,2024-05-10,North
Intimidation,Exceptionally Cleared,2019-08-22,Freedom
Simple Assault,Cleared by Arrest,2017-04-15,North Tryon
Simple Assault,Cleared by Arrest,2023-12-26,Hickory Grove
Intimidation,Cleared by Arrest,2023-02-10,Freedom
Simple Assault,Cleared by Arrest,2022-08-27,Eastway
Intimidation,Open,2019-10-14,North Tryon
Simple Assault,Exceptionally Cleared,2020-10-06,Steele Creek
Simple Assault,Cleared by Arrest,2023-02-24,Metro
Intimidation,Exceptionally Cleared,2022-04-07,Westover
Simple Assault,Cleared by Arrest,2018-06-15,Steele Creek
Intimidation,Open,2019-08-07,North
Simple Assault,Open,2018-11-27,Hickory Grove
Intimidation,Open,2023-09-23,Independence
Simple Assault,Open,2019-06-02,Hickory Grove
Simple Assault,Open,2017-07-07,Eastway
Intimidation,Open,2024-05-13,North
Intimidation,Open,2023-04-03,Westover
Intimidation,Exceptionally Cleared,2019-11-04,Westover
Simple Assault,Cleared by Arrest,2021-04-07,Eastway
Intimidation,Cleared by Arrest,2022-04-02,North Tryon
Intimidation,Open,2022-08-01,Central
Simple Assault,Cleared by Arrest,2019-01-22,University City
Simple Assault,Open,2022-05-17,Independence
Simple Assault,Cleared by Arrest,2021-11-07,University City
Simple Assault,Cleared by Arrest,2018-09-10,Steele Creek
Intimidation,Exceptionally Cleared,2020-06-29,Freedom
Simple Assault,Exceptionally Cleared,2023-06-18,North
Simple Assault,Cleared by Arrest,2019-12-07,Metro
Intimidation,Open,2022-09-17,Westover
Intimidation,Open,2018-03-02,Westover
Simple Assault,Exceptionally Cleared,2021-08-15,Steele Creek
Simple Assault,Open,2021-09-26,Freedom
Simple Assault,Cleared by Arrest,2019-04-20,Westover
Intimidation,Exceptionally Cleared,2022-07-15,Steele Creek
Simple Assault,Exceptionally Cleared,2020-05-02,Steele Creek
Simple Assault,Open,2018-01-11,Providence
Intimidation,Open,2018-04-22,South
Simple Assault,Cleared by Arrest,2023-04-28,Hickory Grove
Simple Assault,Open,2022-12-16,Freedom
Simple Assault,Open,2021-08-22,Providence
Simple Assault,Open,2024-03-07,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-08-22,Freedom
Simple Assault,Cleared by Arrest,2019-05-07,Providence
Intimidation,Open,2024-05-31,Freedom
Simple Assault,Exceptionally Cleared,2018-10-24,University City
Simple Assault,Open,2017-04-19,Metro
Simple Assault,Open,2017-09-10,Westover
Intimidation,Open,2019-04-04,University City
Simple Assault,Exceptionally Cleared,2023-06-06,Steele Creek
Simple Assault,Cleared by Arrest,2022-03-23,Steele Creek
Simple Assault,Exceptionally Cleared,2022-09-22,Independence
Simple Assault,Open,2022-12-13,Steele Creek
Simple Assault,Cleared by Arrest,2017-06-17,Eastway
Intimidation,Exceptionally Cleared,2019-03-21,Independence
Intimidation,Open,2023-06-14,University City
Simple Assault,Exceptionally Cleared,2021-06-11,University City
Simple Assault,Open,2022-07-24,University City
Simple Assault,Open,2024-04-02,Eastway
Intimidation,Open,2024-11-13,Central
Simple Assault,Open,2024-10-11,Eastway
Simple Assault,Cleared by Arrest,2018-09-09,Steele Creek
Intimidation,Open,2021-07-01,North Tryon
Simple Assault,Open,2024-04-15,Westover
Simple Assault,Open,2022-07-06,North Tryon
Simple Assault,Cleared by Arrest,2019-06-18,Central
Intimidation,Open,2024-09-30,Hickory Grove
Simple Assault,Cleared by Arrest,2020-06-04,University City
Simple Assault,Exceptionally Cleared,2021-09-29,South
Simple Assault,Cleared by Arrest,2023-08-14,Central
Simple Assault,Open,2020-08-27,North
Simple Assault,Open,2019-06-13,North Tryon
Simple Assault,Open,2017-09-25,Westover
Simple Assault,Open,2017-08-25,Independence
Simple Assault,Cleared by Arrest,2018-05-30,North Tryon
Intimidation,Open,2023-03-24,Providence
Intimidation,Open,2019-11-10,Eastway
Intimidation,Cleared by Arrest,2023-02-02,North Tryon
Simple Assault,Open,2021-04-13,Steele Creek
Simple Assault,Cleared by Arrest,2020-08-03,Westover
Simple Assault,Open,2017-03-15,North
Simple Assault,Open,2020-08-31,Freedom
Intimidation,Open,2019-10-14,University City
Intimidation,Open,2019-12-16,North
Simple Assault,Cleared by Arrest,2018-08-10,Independence
Simple Assault,Cleared by Arrest,2018-07-04,Independence
Intimidation,Exceptionally Cleared,2019-12-25,North Tryon
Simple Assault,Exceptionally Cleared,2021-06-22,Steele Creek
Simple Assault,Open,2024-06-29,North Tryon
Simple Assault,Open,2023-12-16,North Tryon
Simple Assault,Open,2018-05-15,North Tryon
Simple Assault,Open,2020-11-10,Hickory Grove
Intimidation,Open,2023-07-18,Hickory Grove
Intimidation,Exceptionally Cleared,2017-06-07,Freedom
Simple Assault,Open,2024-09-10,Central
Simple Assault,Exceptionally Cleared,2021-04-17,Eastway
Intimidation,Open,2017-10-31,Westover
Simple Assault,Exceptionally Cleared,2019-09-07,North Tryon
Simple Assault,Exceptionally Cleared,2017-03-16,Hickory Grove
Simple Assault,Cleared by Arrest,2018-11-21,University City
Simple Assault,Cleared by Arrest,2018-08-20,Hickory Grove
Intimidation,Exceptionally Cleared,2022-09-12,Steele Creek
Simple Assault,Cleared by Arrest,2021-07-02,Eastway
Simple Assault,Cleared by Arrest,2022-03-19,Central
Simple Assault,Cleared by Arrest,2021-10-29,Steele Creek
Intimidation,Exceptionally Cleared,2018-09-07,Steele Creek
Intimidation,Exceptionally Cleared,2022-05-26,University City
Intimidation,Exceptionally Cleared,2018-08-05,Providence
Simple Assault,Cleared by Arrest,2023-02-23,University City
Simple Assault,Open,2022-04-04,Steele Creek
Simple Assault,Cleared by Arrest,2019-08-19,Westover
Simple Assault,Exceptionally Cleared,2021-10-13,Metro
Simple Assault,Exceptionally Cleared,2017-02-05,Eastway
Simple Assault,Exceptionally Cleared,2019-02-07,Metro
Simple Assault,Cleared by Arrest,2017-07-07,North
Simple Assault,Cleared by Arrest,2018-10-17,Independence
Intimidation,Exceptionally Cleared,2020-02-27,Hickory Grove
Simple Assault,Open,2023-11-03,Independence
Intimidation,Open,2021-10-11,University City
Simple Assault,Exceptionally Cleared,2018-05-11,Hickory Grove
Simple Assault,Cleared by Arrest,2019-04-04,Westover
Simple Assault,Open,2024-08-03,University City
Simple Assault,Cleared by Arrest,2017-11-22,University City
Simple Assault,Cleared by Arrest,2021-11-19,University City
Simple Assault,Open,2021-05-24,Eastway
Intimidation,Cleared by Arrest,2020-08-11,Central
Simple Assault,Open,2024-04-15,Eastway
Simple Assault,Cleared by Arrest,2017-10-08,North
Simple Assault,Open,2022-07-30,Metro
Simple Assault,Cleared by Arrest by Another Agency,2022-07-26,North
Simple Assault,Open,2017-12-31,Central
Simple Assault,Open,2021-03-15,University City
Simple Assault,Exceptionally Cleared,2017-11-21,North
Simple Assault,Exceptionally Cleared,2018-03-15,Westover
Simple Assault,Exceptionally Cleared,2021-05-07,Central
Simple Assault,Exceptionally Cleared,2021-10-18,University City
Simple Assault,Cleared by Arrest,2021-10-19,South
Simple Assault,Open,2019-01-18,Central
Intimidation,Open,2021-11-03,North
Intimidation,Open,2017-11-09,Independence
Simple Assault,Open,2023-10-12,University City
Simple Assault,Cleared by Arrest,2023-04-22,Freedom
Simple Assault,Cleared by Arrest,2021-04-07,Metro
Simple Assault,Cleared by Arrest,2021-02-10,North Tryon
Simple Assault,Cleared by Arrest,2021-12-24,Steele Creek
Simple Assault,Cleared by Arrest,2017-06-16,University City
Simple Assault,Open,2023-08-03,Freedom
Intimidation,Exceptionally Cleared,2022-01-15,Independence
Simple Assault,Open,2024-07-10,Central
Simple Assault,Cleared by Arrest,2022-05-30,Metro
Intimidation,Open,2017-09-03,North
Simple Assault,Open,2017-12-03,Hickory Grove
Intimidation,Open,2024-09-13,Central
Simple Assault,Cleared by Arrest,2019-12-26,Steele Creek
Simple Assault,Exceptionally Cleared,2022-03-13,Westover
Intimidation,Open,2022-08-14,Hickory Grove
Intimidation,Open,2017-08-18,Eastway
Simple Assault,Exceptionally Cleared,2020-06-02,North Tryon
Simple Assault,Open,2018-04-30,Hickory Grove
Intimidation,Open,2018-02-17,Central
Simple Assault,Open,2022-05-23,Metro
Intimidation,Exceptionally Cleared,2022-06-26,Steele Creek
Intimidation,Open,2017-06-04,North Tryon
Simple Assault,Exceptionally Cleared,2018-02-11,North Tryon
Intimidation,Open,2024-05-27,Independence
Simple Assault,Cleared by Arrest,2018-08-30,University City
Simple Assault,Exceptionally Cleared,2019-05-17,Central
Simple Assault,Exceptionally Cleared,2022-09-20,Freedom
Simple Assault,Cleared by Arrest,2018-07-22,University City
Simple Assault,Open,2017-01-29,Freedom
Simple Assault,Cleared by Arrest,2020-08-10,Central
Simple Assault,Cleared by Arrest,2024-07-08,North
Simple Assault,Open,2019-07-05,Steele Creek
Simple Assault,Cleared by Arrest,2024-10-12,Central
Intimidation,Open,2022-04-15,North
Simple Assault,Open,2022-10-04,North
Simple Assault,Open,2019-10-07,North
Simple Assault,Cleared by Arrest,2024-05-14,Providence
Simple Assault,Cleared by Arrest,2017-05-01,Westover
Simple Assault,Open,2018-09-21,North Tryon
Simple Assault,Exceptionally Cleared,2023-09-21,Hickory Grove
Intimidation,Cleared by Arrest,2017-10-12,Westover
Simple Assault,Exceptionally Cleared,2023-01-10,Steele Creek
Intimidation,Open,2024-08-22,University City
Simple Assault,Open,2023-10-04,North Tryon
Simple Assault,Cleared by Arrest,2020-06-02,Eastway
Simple Assault,Cleared by Arrest,2019-09-23,Hickory Grove
Simple Assault,Cleared by Arrest,2020-01-12,Central
Intimidation,Open,2021-05-28,Eastway
Simple Assault,Cleared by Arrest,2022-10-15,Metro
Simple Assault,Open,2018-05-19,North
Simple Assault,Open,2023-08-25,Freedom
Simple Assault,Open,2021-01-22,Westover
Simple Assault,Cleared by Arrest by Another Agency,2018-03-08,Freedom
Simple Assault,Open,2019-04-18,Hickory Grove
Simple Assault,Cleared by Arrest,2018-03-10,Steele Creek
Simple Assault,Cleared by Arrest,2017-09-13,Westover
Simple Assault,Open,2019-03-25,University City
Simple Assault,Exceptionally Cleared,2021-02-17,Providence
Simple Assault,Cleared by Arrest,2021-12-15,Steele Creek
Simple Assault,Exceptionally Cleared,2023-09-22,South
Simple Assault,Open,2024-02-20,Freedom
Intimidation,Open,2024-08-11,Eastway
Simple Assault,Open,2023-08-30,Freedom
Simple Assault,Unfounded,2023-04-04,South
Simple Assault,Cleared by Arrest,2019-10-10,Central
Intimidation,Exceptionally Cleared,2021-11-03,Metro
Simple Assault,Open,2017-11-14,North Tryon
Simple Assault,Cleared by Arrest,2019-09-24,University City
Simple Assault,Unfounded,2021-09-30,Metro
Simple Assault,Cleared by Arrest,2020-09-05,Freedom
Intimidation,Cleared by Arrest,2017-07-23,Westover
Simple Assault,Cleared by Arrest,2024-05-13,Freedom
Simple Assault,Exceptionally Cleared,2023-08-16,Eastway
Simple Assault,Open,2019-12-09,North Tryon
Simple Assault,Open,2022-10-20,Steele Creek
Simple Assault,Cleared by Arrest,2022-11-10,North
Simple Assault,Cleared by Arrest,2023-04-30,North Tryon
Simple Assault,Open,2023-09-01,Steele Creek
Simple Assault,Cleared by Arrest,2022-03-18,North
Simple Assault,Cleared by Arrest,2019-10-06,Central
Simple Assault,Exceptionally Cleared,2024-05-24,Freedom
Intimidation,Open,2022-03-17,North
Simple Assault,Cleared by Arrest,2021-10-30,Central
Simple Assault,Open,2023-09-17,University City
Intimidation,Open,2024-09-24,North
Intimidation,Open,2022-11-24,Eastway
Simple Assault,Cleared by Arrest,2020-03-14,University City
Intimidation,Open,2023-10-14,Central
Simple Assault,Cleared by Arrest,2023-04-23,North Tryon
Simple Assault,Open,2023-06-18,University City
Simple Assault,Open,2024-09-04,North Tryon
Simple Assault,Cleared by Arrest,2022-05-25,Metro
Simple Assault,Cleared by Arrest,2017-02-19,South
Simple Assault,Cleared by Arrest,2018-11-26,Steele Creek
Simple Assault,Cleared by Arrest,2021-10-29,Westover
Simple Assault,Exceptionally Cleared,2017-06-09,South
Simple Assault,Cleared by Arrest,2022-11-13,Steele Creek
Simple Assault,Exceptionally Cleared,2019-12-30,North
Simple Assault,Exceptionally Cleared,2019-09-15,Eastway
Simple Assault,Exceptionally Cleared,2021-07-12,Steele Creek
Intimidation,Cleared by Arrest,2020-11-17,Westover
Simple Assault,Cleared by Arrest,2018-07-26,Westover
Simple Assault,Exceptionally Cleared,2020-05-15,Steele Creek
Intimidation,Exceptionally Cleared,2017-05-31,Steele Creek
Simple Assault,Open,2021-08-26,Westover
Simple Assault,Open,2022-05-03,Metro
Simple Assault,Cleared by Arrest,2023-02-13,University City
Simple Assault,Cleared by Arrest,2022-04-22,Hickory Grove
Simple Assault,Open,2023-10-19,Independence
Simple Assault,Exceptionally Cleared,2018-09-14,Metro
Simple Assault,Open,2022-05-16,Steele Creek
Simple Assault,Cleared by Arrest by Another Agency,2018-11-21,University City
Simple Assault,Cleared by Arrest,2023-08-28,North Tryon
Simple Assault,Exceptionally Cleared,2019-01-29,Metro
Simple Assault,Cleared by Arrest,2018-02-07,Providence
Simple Assault,Open,2022-09-03,Central
Simple Assault,Exceptionally Cleared,2019-06-14,Central
Intimidation,Open,2024-08-11,Airport
Simple Assault,Cleared by Arrest,2022-09-21,University City
Simple Assault,Cleared by Arrest,2018-07-14,Independence
Simple Assault,Open,2018-06-30,Steele Creek
Simple Assault,Open,2019-11-10,Eastway
Intimidation,Open,2024-10-05,Steele Creek
Simple Assault,Open,2019-02-23,North Tryon
Simple Assault,Exceptionally Cleared,2017-07-25,Hickory Grove
Intimidation,Open,2024-05-22,North
Simple Assault,Open,2017-07-14,Metro
Simple Assault,Open,2022-11-01,Independence
Simple Assault,Open,2018-07-27,Westover
Simple Assault,Exceptionally Cleared,2021-10-07,Freedom
Simple Assault,Cleared by Arrest,2017-10-24,Freedom
Simple Assault,Open,2019-10-16,University City
Simple Assault,Exceptionally Cleared,2023-01-28,University City
Intimidation,Open,2018-08-16,South
Intimidation,Exceptionally Cleared,2023-07-03,Westover
Simple Assault,Open,2021-09-29,University City
Intimidation,Open,2022-02-17,Hickory Grove
Simple Assault,Exceptionally Cleared,2020-04-04,North
Simple Assault,Open,2020-09-05,Hickory Grove
Simple Assault,Cleared by Arrest,2023-08-26,Eastway
Intimidation,Exceptionally Cleared,2020-07-22,Metro
Simple Assault,Open,2021-06-02,North Tryon
Simple Assault,Exceptionally Cleared,2019-09-13,Central
Simple Assault,Cleared by Arrest,2024-07-08,North Tryon
Simple Assault,Open,2020-09-06,North
Simple Assault,Exceptionally Cleared,2017-06-09,Hickory Grove
Intimidation,Exceptionally Cleared,2017-01-06,South
Simple Assault,Open,2024-06-03,Hickory Grove
Intimidation,Open,2017-07-16,Independence
Simple Assault,Cleared by Arrest,2021-11-09,Central
Intimidation,Open,2018-03-01,Providence
Simple Assault,Open,2024-08-03,Freedom
Simple Assault,Exceptionally Cleared,2017-01-15,North Tryon
Simple Assault,Exceptionally Cleared,2021-02-13,Steele Creek
Simple Assault,Cleared by Arrest by Another Agency,2024-05-07,Freedom
Simple Assault,Open,2019-01-26,Independence
Simple Assault,Cleared by Arrest,2021-07-27,Hickory Grove
Intimidation,Exceptionally Cleared,2017-02-07,University City
Simple Assault,Open,2020-04-29,University City
Simple Assault,Open,2017-04-15,Steele Creek
Simple Assault,Exceptionally Cleared,2024-01-21,North Tryon
Simple Assault,Cleared by Arrest,2021-07-25,Westover
Simple Assault,Open,2023-02-24,Freedom
Simple Assault,Cleared by Arrest,2017-08-25,Metro
Simple Assault,Cleared by Arrest,2017-06-29,Metro
Simple Assault,Exceptionally Cleared,2022-06-19,Central
Intimidation,Open,2023-03-27,Hickory Grove
Intimidation,Exceptionally Cleared,2021-01-28,Eastway
Intimidation,Exceptionally Cleared,2023-10-09,Steele Creek
Simple Assault,Cleared by Arrest,2020-01-01,North
Intimidation,Open,2022-08-25,Central
Simple Assault,Open,2024-06-03,Hickory Grove
Simple Assault,Cleared by Arrest,2017-12-13,Eastway
Simple Assault,Exceptionally Cleared,2017-09-24,University City
Simple Assault,Exceptionally Cleared,2021-04-03,North
Simple Assault,Exceptionally Cleared,2020-12-28,Freedom
Intimidation,Open,2020-03-09,Westover
Simple Assault,Cleared by Arrest,2020-03-06,Independence
Simple Assault,Exceptionally Cleared,2023-02-06,North Tryon
Simple Assault,Exceptionally Cleared,2017-03-13,Central
Simple Assault,Exceptionally Cleared,2022-08-20,Steele Creek
Intimidation,Cleared by Arrest,2017-02-10,Steele Creek
Simple Assault,Cleared by Arrest,2024-09-14,North
Simple Assault,Open,2024-10-17,North Tryon
Intimidation,Cleared by Arrest,2019-08-28,North Tryon
Simple Assault,Cleared by Arrest,2021-12-12,North Tryon
Simple Assault,Open,2024-07-18,Independence
Simple Assault,Cleared by Arrest,2020-12-02,Steele Creek
Simple Assault,Cleared by Arrest,2019-07-24,North
Simple Assault,Cleared by Arrest,2023-08-19,South
Intimidation,Cleared by Arrest,2019-11-24,Independence
Simple Assault,Exceptionally Cleared,2021-02-26,Steele Creek
Simple Assault,Open,2021-01-22,Hickory Grove
Simple Assault,Exceptionally Cleared,2017-03-08,Westover
Intimidation,Open,2018-05-04,Steele Creek
Simple Assault,Cleared by Arrest,2019-04-19,North Tryon
Simple Assault,Open,2020-05-01,North
Simple Assault,Open,2022-08-07,University City
Simple Assault,Exceptionally Cleared,2023-12-01,Steele Creek
Simple Assault,Cleared by Arrest,2017-03-14,Westover
Simple Assault,Open,2024-01-07,University City
Simple Assault,Cleared by Arrest,2021-10-01,Independence
Simple Assault,Open,2019-01-26,Metro
Simple Assault,Cleared by Arrest,2020-03-04,Eastway
Simple Assault,Open,2024-06-08,Westover
Simple Assault,Cleared by Arrest,2019-02-18,University City
Intimidation,Open,2024-08-30,Freedom
Intimidation,Open,2018-03-31,North Tryon
Intimidation,Open,2018-07-03,Central
Simple Assault,Open,2022-06-22,Westover
Simple Assault,Open,2024-05-26,Metro
Simple Assault,Exceptionally Cleared,2020-04-28,Hickory Grove
Intimidation,Open,2024-05-20,Hickory Grove
Simple Assault,Open,2023-11-20,North Tryon
Intimidation,Exceptionally Cleared,2024-06-26,Metro
Simple Assault,Open,2024-09-27,Steele Creek
Simple Assault,Cleared by Arrest,2020-04-15,Metro
Simple Assault,Cleared by Arrest,2022-04-06,Independence
Simple Assault,Cleared by Arrest,2022-09-02,Hickory Grove
Simple Assault,Exceptionally Cleared,2020-01-22,North
Intimidation,Open,2017-04-26,University City
Simple Assault,Exceptionally Cleared,2020-07-04,Independence
Intimidation,Exceptionally Cleared,2018-02-21,Hickory Grove
Intimidation,Open,2024-09-22,University City
Intimidation,Open,2021-11-30,South
Simple Assault,Exceptionally Cleared,2018-02-20,Independence
Intimidation,Open,2018-12-10,Steele Creek
Simple Assault,Cleared by Arrest,2021-03-26,Westover
Intimidation,Exceptionally Cleared,2021-02-13,Metro
Simple Assault,Open,2024-11-04,North
Simple Assault,Exceptionally Cleared,2023-07-28,Steele Creek
Simple Assault,Exceptionally Cleared,2021-07-24,North Tryon
Simple Assault,Open,2023-12-02,Westover
Simple Assault,Cleared by Arrest,2018-11-01,University City
Intimidation,Open,2020-02-14,North
Simple Assault,Cleared by Arrest,2019-07-17,University City
Intimidation,Exceptionally Cleared,2017-04-26,Metro
Simple Assault,Cleared by Arrest,2018-07-09,South
Intimidation,Open,2021-10-30,North
Intimidation,Exceptionally Cleared,2021-05-10,Hickory Grove
Simple Assault,Cleared by Arrest,2021-04-21,Freedom
Simple Assault,Open,2022-11-25,Steele Creek
Simple Assault,Open,2023-03-19,Central
Intimidation,Open,2023-02-15,Steele Creek
Intimidation,Open,2022-08-19,Eastway
Simple Assault,Exceptionally Cleared,2019-08-24,North Tryon
Simple Assault,Cleared by Arrest,2020-01-14,Freedom
Intimidation,Open,2018-09-13,Eastway
Intimidation,Exceptionally Cleared,2019-10-29,Freedom
Simple Assault,Exceptionally Cleared,2020-07-22,Steele Creek
Intimidation,Open,2024-11-01,University City
Intimidation,Cleared by Arrest,2022-02-08,Eastway
Simple Assault,Exceptionally Cleared,2022-11-21,Hickory Grove
Simple Assault,Open,2021-02-25,University City
Simple Assault,Cleared by Arrest,2024-06-24,North Tryon
Simple Assault,Open,2019-11-26,Freedom
Intimidation,Open,2023-03-09,Eastway
Intimidation,Open,2017-07-14,Providence
Simple Assault,Cleared by Arrest,2023-08-01,Westover
Intimidation,Exceptionally Cleared,2021-11-26,North
Intimidation,Open,2024-10-02,North
Simple Assault,Open,2024-06-17,Providence
Simple Assault,Open,2022-05-17,Steele Creek
Simple Assault,Open,2017-04-13,North
Simple Assault,Open,2024-09-16,Providence
Simple Assault,Exceptionally Cleared,2020-03-29,North Tryon
Simple Assault,Open,2023-01-18,Steele Creek
Intimidation,Open,2021-09-08,Steele Creek
Simple Assault,Cleared by Arrest,2020-08-23,North Tryon
Simple Assault,Cleared by Arrest,2019-08-25,Steele Creek
Intimidation,Exceptionally Cleared,2020-12-16,Hickory Grove
Simple Assault,Cleared by Arrest,2019-03-30,Providence
Simple Assault,Open,2023-06-30,South
Simple Assault,Open,2019-02-13,Central
Intimidation,Unfounded,2022-11-11,University City
Intimidation,Open,2017-10-31,Metro
Simple Assault,Exceptionally Cleared,2017-01-12,Steele Creek
Intimidation,Open,2020-11-07,North Tryon
Intimidation,Open,2022-04-15,Westover
Simple Assault,Exceptionally Cleared,2024-09-18,University City
Intimidation,Exceptionally Cleared,2019-09-20,North
Intimidation,Open,2020-03-23,Steele Creek
Intimidation,Cleared by Arrest,2018-03-03,South
Simple Assault,Exceptionally Cleared,2023-10-19,Independence
Simple Assault,Open,2024-10-30,Westover
Simple Assault,Open,2022-12-07,Central
Intimidation,Exceptionally Cleared,2024-02-23,Independence
Intimidation,Open,2023-09-04,Steele Creek
Simple Assault,Open,2019-09-23,North
Intimidation,Exceptionally Cleared,2017-07-27,Independence
Simple Assault,Cleared by Arrest,2019-10-28,Westover
Simple Assault,Exceptionally Cleared,2020-10-31,Independence
Simple Assault,Exceptionally Cleared,2024-02-04,University City
Intimidation,Open,2022-02-18,Eastway
Simple Assault,Open,2022-04-19,Independence
Simple Assault,Cleared by Arrest,2018-08-25,Steele Creek
Simple Assault,Open,2019-03-19,University City
Simple Assault,Open,2024-03-31,Freedom
Simple Assault,Exceptionally Cleared,2020-10-30,North
Intimidation,Open,2017-09-23,Eastway
Intimidation,Exceptionally Cleared,2022-12-02,Central
Simple Assault,Open,2019-07-25,Independence
Intimidation,Exceptionally Cleared,2021-04-20,South
Simple Assault,Open,2019-06-11,Hickory Grove
Simple Assault,Cleared by Arrest,2020-05-12,Metro
Simple Assault,Cleared by Arrest,2018-06-19,Providence
Intimidation,Open,2022-08-12,Eastway
Simple Assault,Exceptionally Cleared,2024-02-25,Independence
Simple Assault,Cleared by Arrest,2023-01-12,Steele Creek
Simple Assault,Open,2022-10-12,Providence
Simple Assault,Open,2020-03-01,Eastway
Simple Assault,Cleared by Arrest,2018-04-10,Hickory Grove
Simple Assault,Cleared by Arrest,2021-03-26,North
Intimidation,Open,2019-09-03,Central
Simple Assault,Exceptionally Cleared,2023-11-02,Steele Creek
Simple Assault,Open,2023-11-18,Steele Creek
Intimidation,Open,2020-05-10,Steele Creek
Intimidation,Open,2017-07-03,North Tryon
Simple Assault,Cleared by Arrest,2020-02-18,Central
Simple Assault,Open,2021-09-25,Steele Creek
Simple Assault,Open,2021-12-23,Providence
Intimidation,Open,2023-08-28,University City
Simple Assault,Open,2024-01-16,Eastway
